no,name,url
0,บีท บางหว้า อินเตอร์เชนจ์,https://www.home.co.th/condo/i/10342-%E0%B8%9A%E0%B8%B5%E0%B8%97-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B9%89%E0%B8%B2-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%8A%E0%B8%99%E0%B8%88%E0%B9%8C
1,เดอะวิลเลจ,https://www.home.co.th/home/i/9000-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B9%80%E0%B8%A5%E0%B8%88
2,ธาราวาน่า,https://www.home.co.th/home/i/8998-%E0%B8%98%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A7%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2
