no,name,url
0,อยู่รวยคอนโด,https://www.home.co.th/condo/i/10526-%E0%B8%AD%E0%B8%A2%E0%B8%B9%E0%B9%88%E0%B8%A3%E0%B8%A7%E0%B8%A2%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94
1,เดอะ เมทโทร เพชรเกษม 48,https://www.home.co.th/home/i/10378-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%A1%E0%B8%97%E0%B9%82%E0%B8%97%E0%B8%A3-%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%A1-48
2,เพอร์เฟค เพลส รัตนาธิเบศร์-สถานีไทรม้า,https://www.home.co.th/home/i/10353-%E0%B9%80%E0%B8%9E%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%9F%E0%B8%84-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%A8%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B9%84%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B9%89%E0%B8%B2
3,เมทโทร บิซทาวน์ แจ้งวัฒนะ 3,https://www.home.co.th/home/i/10185-%E0%B9%80%E0%B8%A1%E0%B8%97%E0%B9%82%E0%B8%97%E0%B8%A3-%E0%B8%9A%E0%B8%B4%E0%B8%8B%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C-%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0-3
