no,name,url
0,ศุภาลัย โมด้า ปิ่นเกล้า-พุทธมณฑล สาย 3,https://www.home.co.th/home/i/10690-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B9%89%E0%B8%B2-%E0%B8%9B%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2-%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A1%E0%B8%93%E0%B8%91%E0%B8%A5-%E0%B8%AA%E0%B8%B2%E0%B8%A2-3
1,ศุภาลัย พรีโม่ ศรีสุนทร ภูเก็ต,https://www.home.co.th/home/i/10597-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%82%E0%B8%A1%E0%B9%88-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%A3-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95
2,ศุภาลัย ไพร์ม พระราม 9,https://www.home.co.th/condo/i/10583-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B9%84%E0%B8%9E%E0%B8%A3%E0%B9%8C%E0%B8%A1-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-9
3,ศุภาลัย เอสเซ้นส์ สวนหลวง,https://www.home.co.th/home/i/10274-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%8B%E0%B9%89%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87
4,ศุภาลัย มอนเต้ บิซ,https://www.home.co.th/home/i/6347-%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2-%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%95%E0%B9%89-%E0%B8%9A%E0%B8%B4%E0%B8%8B
